"Fecha"	"BITCOIN_COINDESK"	"USD_EUR"	"USD_BZR"	"USD_INR"	"USD_MEX"	"USD_JPY"	"USD_SWF"	"day"	"month"	"year"	"BITCOIN_COINDESK_sintend"	"USD_EUR_sintend"	"USD_BZR_sintend"	"USD_INR_sintend"	"USD_MEX_sintend"	"USD_JPY_sintend"	"USD_SWF_sintend"
2014	770.44	0.728623993588109	0.41996514289314	0.016099170892699	0.0762965647471723	0.00951972963967823	1.11719360965255	"1"	"1"	"2014"	-32.9383881664276	0.0381595185123946	-0.0754768512709991	-0.000773776078562601	-0.00266060533337022	-0.000529560150780482	-0.01742710172946
2014.00274116144	808.05	0.731528895391368	0.416406412658755	0.0160487883164821	0.0762456635278869	0.0095383441434567	1.11135807957324	"2"	"1"	"2014"	6.73305039405818	0.0405836053623191	-0.0785361263635492	-0.0008211164191037	-0.00268462994152875	-0.000506282048300138	-0.0230308247613895
2014.00548232289	830.02	0.734969866235484	0.419621501405732	0.0160849284220685	0.0763038418984396	0.00957304231284702	1.10570544007077	"3"	"1"	"2014"	30.7605571937561	0.0435442535152891	-0.0748221752033483	-0.000781936311105704	-0.00259957495984559	-0.000466927437931232	-0.0284518634898765
2014.00822348433	858.98	0.734430082256169	0.420132761952777	0.01607286364854	0.0763281090983108	0.00957548675391002	1.10603155876714	"4"	"1"	"2014"	61.7741315174103	0.0425246392234314	-0.0738126451463134	-0.000790963315714217	-0.00254843114884039	-0.000459833714067706	-0.0278943503074616
2014.01096464578	940.1	0.733891090562161	0.420645269843941	0.0160608169602227	0.076352391738671	0.0095779324436498	1.10635786989231	"5"	"1"	"2014"	144.943774318695	0.0415063095954837	-0.0728024605901865	-0.000799974468148439	-0.00249727189734973	-0.000452745900160196	-0.0273368509842056
2014.01370580722	951.39	0.733352889410384	0.421159029649596	0.0160487883164821	0.0763766898342626	0.00958037938302357	1.10668437361664	"6"	"1"	"2014"	158.279485120773	0.0404892628883723	-0.0717916168481792	-0.000808969809497566	-0.00244609719062773	-0.000445663994342	-0.0267793653206356
2014.01644696867	810.58	0.734322220590395	0.421371987190292	0.0160513643659711	0.076657723265619	0.00956571647216376	1.1005943209333	"7"	"1"	"2014"	19.5112639236451	0.0409802409498591	-0.0710821682743651	-0.00080336269110869	-0.00213818714814443	-0.000455699096480678	-0.0326386423672389
2014.01918813011	859.95	0.736051818047991	0.418707867520831	0.0161108425970678	0.0763912761162675	0.00953561552398207	1.098659635245	"8"	"1"	"2014"	70.9191107273102	0.0422319776093266	-0.0732503896975265	-0.000740855624148967	-0.00237775768636549	-0.000481179394574044	-0.034342758677651
2014.02192929156	860.89	0.735781031565006	0.416371736686514	0.0161108425970678	0.0760167236792094	0.00954745083062822	1.10071546505228	"9"	"1"	"2014"	73.8930255317688	0.0414838227068181	-0.075091215188778	-0.000737829021550201	-0.00272543351229314	-0.000464730596017615	-0.0320565657804275
2014.024670453	884.67	0.731850117096019	0.422922393740749	0.016273393002441	0.0769437925595353	0.00960984047664809	1.10717449069973	"10"	"1"	"2014"	99.7030083370208	0.0370760321969098	-0.0680458455200889	-0.000572254246842492	-0.00177148802083688	-0.000397734615810778	-0.025367383345539
2014.02741161445	930.9	0.732153752287982	0.423549343498518	0.0162672161370784	0.0769102585466523	0.00963298333493883	1.10741971207087	"11"	"1"	"2014"	147.959059381485	0.0369032837265565	-0.0669247760510996	-0.000575408976589548	-0.00177814542258586	-0.000369992581511111	-0.0248922114458066
2014.03015277589	873.26	0.732457639533179	0.424178154825027	0.0162610439590222	0.0768767537509451	0.00965623792970259	1.10766504209127	"12"	"1"	"2014"	92.341178188324	0.0367312796880395	-0.0658024378583968	-0.000578561252067133	-0.00178477360716257	-0.000342145969371228	-0.0244171371993203
2014.03289393734	857.96	0.7327617791456	0.424808836023789	0.0162548764629389	0.0768432781342452	0.00967960507211306	1.10791048083315	"13"	"1"	"2014"	79.0593649959565	0.0365600204535587	-0.0646788225802589	-0.000581711078835982	-0.00179137261273564	-0.000314193967307934	-0.0239421604901997
2014.03563509878	851.83	0.730887297178775	0.42450227108715	0.0162575191025849	0.0764146257593703	0.00963391136801542	1.11000111000111	"14"	"1"	"2014"	74.9436200428009	0.0342106319020203	-0.0644930462825492	-0.000576053003139725	-0.00219314837648006	-0.000355309969476057	-0.0216221996429455
2014.03837626023	874.71	0.735077918259335	0.425531914893617	0.016249593760156	0.0759647523549073	0.00957670944263551	1.10083663584324	"15"	"1"	"2014"	99.8339430904389	0.0379268387764709	-0.0629716540285525	-0.000580965142782722	-0.00261614516981265	-0.000407941351559239	-0.030557548409472
2014.04111742167	847.37	0.735294117647059	0.422279464549639	0.016249593760156	0.0751230139353191	0.00958588957055215	1.10326566637246	"16"	"1"	"2014"	74.5003341388702	0.0376691164531032	-0.0657329488282347	-0.000577954173488385	-0.0034310069782669	-0.00039419783852393	-0.0278995987623061
2014.04385858312	828.22	0.737789582411096	0.424628450106157	0.016249593760156	0.0753693096171239	0.00958588957055215	1.0989010989011	"17"	"1"	"2014"	57.3527929496765	0.0396911517682382	-0.062893400572447	-0.000574945437458289	-0.00315783468533165	-0.000389641610673813	-0.0320354534036758
2014.04659974456	843.76	0.737707941425989	0.424313143099608	0.0162232316677482	0.0753281482457957	0.00959002637257252	1.0991426687184	"18"	"1"	"2014"	74.8913202381134	0.0391365737128323	-0.0627187376083381	-0.000598301027100213	-0.00317211944553293	-0.000380955739890864	-0.0315653770297792
