dataset,k,memb.exp,silhuette_avg.width,coeff,time
tp2,2,1.1,0.3464512,0.9040876,787.6498
tp2,4,1.1,0.4004837,0.928437,1672.791
tp2,2,1.2,0.3464165,0.7801939,1137.564
