"","x","y","Rmag","ApD_Rmag","MC_z","UjMag","BjMag","VjMag","S280Mag","BjMag.comp"
"126",-0.679347644573322,-1.75815286843029,0.415344367896181,0.643424437907882,-1.63797212987703,0.42919058301706,0.191823074196319,0.0340988419985819,2.50151128350961,2.60643553529517
"182",0.956317616382323,-1.75625365319827,0.731005592624114,-0.175533203208493,0.421913189389259,0.766118920628009,1.24533120585394,1.2550034964881,-0.44444226454866,0.0133683073566014
"183",-0.162751176667152,-1.75528335195383,0.35386383866138,2.19944395602899,-0.18427342478813,0.45024860411774,0.247270870599351,0.175810989394686,0.017466828352461,0.107093628848357
"185",0.52370049725504,-1.75381640362691,0.890671444666731,0.35678926351715,0.0742895859984339,1.16622132154102,1.00967807114105,0.982480136110976,-0.141635192535703,0.232060724170697
"197",1.21240843885122,-1.75662153992602,0.581433558814077,2.07660030986154,-0.437090590890548,1.01881517383623,1.55029408607062,1.60383339777082,-0.0492533739554784,0.528857575561256
"198",0.159295502019556,-1.75597773815246,0.230902780191778,-0.175533203208493,-1.08349811785696,-0.181492028902805,-0.210173449725671,-0.249325452793629,1.24409208616766,1.17972786369845
"219",-1.73320674866724,-1.75578459762039,0.923705758882443,-0.175533203208493,1.34412126119467,0.702944857325968,0.496785954412997,0.535541825092492,-0.803704892360646,-0.632295018475493
"220",1.44870362151116,-1.75549948540638,-0.00492551851484402,-0.175533203208493,-0.523278261152736,0.323900477513634,0.372028412506174,0.426532480941644,0.130377939950512,0.26850946030638
"224",0.209937163473801,-1.75285989813476,-0.132474676181075,1.74901725341499,-0.560626251599684,-0.792174640822662,-1.23595768318177,-1.16500394366077,0.700065821195231,0.242474648780893
"239",-0.192757760142409,-1.75284610238247,0.736511311660067,-0.175533203208493,1.41881724208857,0.660828815124591,0.621543496319821,0.742659578979104,-0.967939236503265,-0.752055151492735
"252",-0.0902707983763417,-1.75550868257457,0.0694016884705117,-0.175533203208493,1.5854467379288,-0.202550050003485,-0.528998279043105,-0.598155354076345,-1.31180489455188,-1.53309949725736
"253",-0.408826480228895,-1.7535312914129,0.0033330600390815,-0.175533203208493,0.137493877524038,0.323900477513634,0.41361425980845,0.361126874451132,-0.511162466856602,-0.366739940915519
"269",0.0307193349051079,-1.75364165743123,0.419014847253484,-0.175533203208493,0.740807569359355,-0.0972599445000599,-0.307207093430974,-0.260226387208712,-0.685661457508137,-0.814538699153906
"270",-1.13964401595309,-1.75187120255392,0.969586750848713,-0.175533203208493,-1.39664665314291,-1.78190163255484,-0.903270904763577,-0.91428245211381,2.52204057652743,2.21591336241286
"274",-0.894794558607923,-1.75320939052612,0.690630319693797,-0.175533203208493,0.783901404490448,0.787176941728697,-0.043830060516572,0.0777025796589209,-0.79344024585173,-0.824952623764101
"286",-0.676447363488458,-1.75142513989652,0.0996831431682473,-0.175533203208493,-1.34206112864352,0.724002878426648,0.455200107110724,0.306622202375708,1.35187087451126,1.53900826275018
"293",-0.711148582655448,-1.75063878201595,0.1015183828469,0.233945617349694,-1.58913245006179,0.387074540815687,0.122513328692527,0.132207251734347,2.09605774640751,2.16905070166698
"309",0.29298380317486,-1.7508595140526,0.181351308868209,-0.175533203208493,0.0944000423929445,-1.31862516833977,-1.18050988677874,-1.09959833717026,0.0841870306604003,-0.36153297861042
"313",-0.173832648806106,-1.74894190448419,0.853966651093716,-0.175533203208493,0.151858489234403,-0.0762019233993718,-0.0854159078188431,0.32842407120588,0.0944516771693139,0.0602309681024791
"314",1.25320335732668,-1.74895110165239,0.289630449908603,-0.175533203208493,-1.83620377148007,-2.28729413897128,-2.59442869505607,-3.06176653188555,5.40127392227776,4.50176981435067
"322",-1.13267978817198,-1.75044564148388,0.199703705654716,-0.175533203208493,-1.54891153727277,0.681886836225276,0.510647903513755,0.339325005620961,1.91642643250152,2.1326019655313
"323",0.242355466136012,-1.75013753634939,0.790650882180262,-0.175533203208493,0.502355014967301,0.17649432980884,0.288856717901627,0.415631546526558,-0.321266506441695,-0.220944996372787
"333",0.598192862270879,-1.74963169209873,-0.057229849356393,-0.175533203208493,-0.827808029412467,0.366016519715003,0.0532035831887356,0.0013960387533257,0.582022386342722,0.60696201013772
"344",0.169977241696583,-1.7498202340467,-0.0957698826080573,-0.175533203208493,-1.13521072001427,0.155436308708152,-0.182449551524156,-0.282028256038882,1.11578400480624,1.0599677306812
"345",1.24978786551311,-1.7501237405971,-0.111369419876592,-0.175533203208493,0.240919081838664,-0.0551439022986912,-0.224035398826427,-0.34743386252939,-0.5470887296378,-0.642708943085688
"350",-0.699836153982937,-1.74642647898319,0.96408103181276,-0.175533203208493,1.42743600911479,1.29256944814514,1.05126391844332,1.0369848081864,-0.819101862124015,-0.439637413186884
"351",0.663602417457396,-1.74993979723322,0.808085659127447,-0.175533203208493,-1.52018231385204,1.33468549034651,1.28691705315621,1.13509321792217,1.77272138137673,2.27839691007403
"353",0.394280450498748,-1.74896489740468,0.498847773274792,-0.175533203208493,0.783901404490448,0.0712042243054148,0.524509852614513,0.568244628337748,-0.670264487744765,-0.486500073932762
"368",0.036288940541279,-1.74827051120605,0.474072037613006,-0.175533203208493,1.13439793022335,0.639770794023903,1.24533120585394,1.21139975882776,-0.967939236503265,-0.517741847763347
"384",0.398175621266628,-1.75162747759679,-0.996872564825588,-0.175533203208493,-0.888139398595998,0.45024860411774,0.191823074196314,0.110405382904177,0.104716323678229,0.174784138814624
"393",0.288253635708734,-1.74857401775644,0.703476997444352,-0.175533203208493,1.33262957182638,2.64028279858896,1.93842866089185,1.73464461075184,-0.932012973722068,-0.220944996372787
"394",0.218260481625464,-1.7520505473337,-1.10331646618733,-0.175533203208493,-0.046373152368629,-0.0551439022986912,0.0116177358864644,0.0122969731684124,-0.849895801650758,-0.861401359899784
"400",-1.21706775235639,-1.74441229914874,0.71357081567693,-0.175533203208493,-0.810570495360029,1.35574351144719,1.24533120585394,1.14599415233725,0.540963800307066,1.01310506993533
"407",0.883033331695861,-1.74741517456402,0.135470316901939,-0.175533203208493,-0.106704521552161,0.387074540815684,0.261132819700106,0.328424071205876,-0.151899839044616,-0.0595291649147643
"408",-0.143044366294193,-1.74514807260425,-0.132474676181075,2.89555795097791,0.154731411576476,-1.50814735824594,-1.59636835980149,-1.6446450579245,-0.0851796367366769,-0.689571603831566
"416",-0.578823813342492,-1.74414558127112,0.358451937858006,-0.175533203208493,0.442023645783769,0.366016519715003,0.385890361606934,0.44833434977181,-0.541956406383342,-0.408395639356298
"426",-0.888163441211748,-1.75140674556013,0.233655639709754,-0.175533203208493,1.90721404024097,0.976699131634868,0.330442565203898,0.0777025796589247,-0.870425094668585,-0.762469076102932
