n,k,time
500,5,0.07120728
1000,5,0.3697069
1500,5,0.7130842
2000,5,0.9124401
2500,5,2.772735
3000,5,3.239677
3500,5,7.298214
4000,5,12.51517
4500,5,9.336538
5000,5,16.23811
5500,5,21.03051
6000,5,24.68452
6500,5,42.90893
7000,5,35.31813
7500,5,49.72835
8000,5,35.2634
8500,5,87.95906
9000,5,55.04626
9500,5,73.19968
10000,5,76.32561
10500,5,46.98558
11000,5,88.70701
11500,5,116.1809
12000,5,126.3584
12500,5,261.1298
13000,5,349.9316
13500,5,239.0322
14000,5,360.8994
