"","Rmag","ApD_Rmag","MC_z","UjMag","BjMag","VjMag","S280Mag","BjMag.comp","tamaño"
"51906",0.0556373908806304,-0.175533203208493,-1.14095656469842,0.429190583017052,0.302718667002382,0.164910054979599,1.03879915598939,1.16410697678316,3667
"416",0.358451937858006,-0.175533203208493,0.442023645783769,0.366016519715003,0.385890361606934,0.44833434977181,-0.541956406383342,-0.408395639356298,7769
"16550",-0.541733124520195,-0.175533203208493,-0.0636106864210667,-1.44497329494389,-1.51319666519694,-1.55743758260383,-0.0646503437188497,-0.63750198078059,2751
